kernel_name,total_cycles,fusion_time,main_time,copy_start_time,copy_done_time
matmul_32x32x32,413.0,1.02,1.565625,0.008571,0.451428
matmul_32x32x48,413.0,1.02,1.567142,0.008571,0.454196
matmul_32x32x64,413.0,1.017232,1.557143,0.008571,0.445714
matmul_32x32x80,413.0,1.081518,1.697054,0.008572,0.520089
matmul_32x32x96,413.0,1.014286,1.625714,0.008571,0.517232
matmul_32x32x112,413.0,1.281339,1.821518,0.008571,0.448482
matmul_32x32x128,413.0,1.017232,1.562768,0.008571,0.45
matmul_32x48x32,413.0,1.024197,1.567232,0.008572,0.451339
matmul_32x48x48,413.0,1.004375,1.532946,0.008571,0.448571
matmul_32x48x64,413.0,1.002857,1.547143,0.008571,0.451429
matmul_32x48x80,413.0,1.00009,1.545625,0.008571,0.45
matmul_32x48x96,413.0,1.0,1.538572,0.008572,0.452857
matmul_32x48x112,413.0,0.985803,1.525714,0.008571,0.445714
matmul_32x48x128,413.0,1.0,1.542857,0.008572,0.44866
matmul_32x64x32,413.0,1.022768,1.567143,0.008571,0.452857
matmul_32x64x48,413.0,1.145625,1.632946,0.008571,0.45134
matmul_32x64x64,413.0,1.081339,1.642857,0.008571,0.478571
matmul_32x64x80,413.0,1.007232,1.558571,0.008571,0.457143
matmul_32x64x96,413.0,1.017232,1.605625,0.008572,0.492857
matmul_32x64x112,413.0,1.007143,1.555803,0.008571,0.457143
matmul_32x64x128,413.0,1.011429,1.551428,0.008571,0.454285
matmul_32x80x32,413.0,1.114375,1.657143,0.008572,0.448572
matmul_32x80x48,413.0,1.001518,1.537232,0.008572,0.447232
matmul_32x80x64,413.0,1.118482,1.658661,0.008572,0.448482
matmul_32x80x80,413.0,1.031429,1.587053,0.008571,0.461429
matmul_32x80x96,413.0,1.11866,1.61991,0.008571,0.462946
matmul_32x80x112,413.0,1.024196,1.631518,0.008572,0.515714
matmul_32x80x128,413.0,1.207232,1.765625,0.008571,0.462947
matmul_32x96x32,413.0,1.025625,1.565714,0.008571,0.448482
matmul_32x96x48,413.0,0.995714,1.798572,0.008572,0.71009
matmul_32x96x64,413.0,1.017143,1.775804,0.008572,0.677054
matmul_32x96x80,413.0,1.082768,1.701429,0.008572,0.541429
matmul_32x96x96,413.0,1.045714,1.632768,0.008571,0.502947
matmul_32x96x112,413.0,1.047054,1.604375,0.008571,0.465625
matmul_32x96x128,413.0,1.037233,1.6,0.008571,0.47
matmul_32x112x32,413.0,1.015715,1.554375,0.008571,0.445714
matmul_32x112x48,413.0,1.002946,1.551429,0.008572,0.454286
matmul_32x112x64,413.0,1.005714,1.547232,0.008571,0.449911
matmul_32x112x80,413.0,1.022857,1.577143,0.008572,0.46134
matmul_32x112x96,413.0,1.168571,1.73,0.008572,0.468483
matmul_32x112x112,413.0,1.064286,1.632857,0.008572,0.475804
matmul_32x112x128,413.0,1.107054,1.611429,0.008572,0.468571
matmul_32x128x32,413.0,1.027143,1.561429,0.008571,0.441518
matmul_32x128x48,413.0,1.002857,1.548572,0.008572,0.451518
matmul_32x128x64,413.0,1.24,1.765714,0.008571,0.454375
matmul_32x128x80,413.0,1.102768,1.855714,0.008571,0.695714
matmul_32x128x96,413.0,1.045714,1.594196,0.008571,0.465714
matmul_32x128x112,413.0,1.062857,1.628572,0.008572,0.472858
matmul_32x128x128,413.0,1.077143,1.637232,0.008571,0.477143
matmul_48x48x32,429.0,1.144286,1.628661,0.008572,0.448572
matmul_48x48x48,429.0,1.057143,1.598661,0.008572,0.448571
matmul_48x48x64,429.0,1.055714,1.597232,0.008572,0.448572
matmul_48x48x80,429.0,1.055714,1.602857,0.008571,0.452857
matmul_48x48x96,429.0,1.055803,1.785714,0.008571,0.635804
matmul_48x48x112,429.0,1.184286,1.88991,0.008571,0.611518
matmul_48x48x128,429.0,1.058483,1.6,0.008572,0.448571
matmul_48x64x32,429.0,1.231428,1.795714,0.008571,0.528571
